Gender:,Which age group do you belong to?,1. How many hours do you usually sleep per night?,2. How long does it typically take you to fall asleep?,3. How many hours before sleep do you usually eat dinner?,4. Do you often stay up late scrolling on your phone even when tired?,5. How many cups of tea/coffee do you drink per day?,"6. What is your average daily screen time of devices (mobile, laptop, etc.) of the week?",7. Do you struggle to sleep because of overthinking or racing thoughts?,8. How would you rate your daily stress level?,9. Do you exercise physically at least 3 times a week?,10. How satisfied are you with your sleep?
Male,46 - 65 years,7.0,15 - 30 mins,Less than 1 hour,No,3+ cups,8.0,Rarely/Never,1,No,9
Female,26 - 45 years,6.5,Less than 15 mins,1 - 2 hours,No,0 cups,9.0,Sometimes,8,No,7
Female,26 - 45 years,7.0,30 - 60 mins,Less than 1 hour,No,2 cups,8.0,Rarely/Never,4,No,10
Female,18 - 25 years,6.0,Less than 15 mins,1 - 2 hours,No,2 cups,1.0,Rarely/Never,1,Yes,2
Female,18 - 25 years,7.0,15 - 30 mins,1 - 2 hours,Yes,2 cups,3.0,Sometimes,5,No,8
Female,18 - 25 years,7.0,15 - 30 mins,More than 2 hours,No,0 cups,3.0,Sometimes,5,Yes,8
Male,26 - 45 years,6.0,30 - 60 mins,1 - 2 hours,Yes,0 cups,5.0,Often,9,No,1
Male,18 - 25 years,7.0,30 - 60 mins,1 - 2 hours,Yes,1 cup,7.0,Sometimes,2,No,5
Male,18 - 25 years,8.0,30 - 60 mins,Less than 1 hour,No,0 cups,5.0,Sometimes,5,Yes,8
Male,18 - 25 years,7.0,30 - 60 mins,More than 2 hours,Yes,1 cup,4.0,Sometimes,7,Yes,5
Female,26 - 45 years,8.0,30 - 60 mins,Less than 1 hour,No,0 cups,10.0,Sometimes,5,No,9
Female,18 - 25 years,8.0,Less than 15 mins,Less than 1 hour,No,1 cup,7.0,Sometimes,8,No,4
Male,18 - 25 years,7.0,15 - 30 mins,1 - 2 hours,Yes,1 cup,7.0,Sometimes,6,Yes,8
Male,18 - 25 years,7.0,15 - 30 mins,More than 2 hours,Yes,1 cup,5.0,Sometimes,5,No,6
Male,18 - 25 years,8.0,15 - 30 mins,1 - 2 hours,Yes,1 cup,6.0,Sometimes,5,Yes,10
Female,18 - 25 years,8.0,30 - 60 mins,1 - 2 hours,Yes,2 cups,9.0,Often,7,No,5
Male,26 - 45 years,9.0,Less than 15 mins,Less than 1 hour,No,2 cups,6.0,Rarely/Never,7,Yes,8
Male,18 - 25 years,7.0,Less than 15 mins,1 - 2 hours,Yes,0 cups,5.0,Sometimes,5,Yes,6
Female,26 - 45 years,8.0,15 - 30 mins,1 - 2 hours,No,0 cups,8.0,Sometimes,3,Yes,8
Male,26 - 45 years,5.0,Less than 15 mins,1 - 2 hours,No,0 cups,11.0,Rarely/Never,6,Yes,6
Female,18 - 25 years,7.0,15 - 30 mins,Less than 1 hour,No,0 cups,4.0,Often,6,Yes,8
Female,18 - 25 years,6.0,15 - 30 mins,Less than 1 hour,Yes,2 cups,5.0,Sometimes,2,No,4
Female,18 - 25 years,7.5,Less than 15 mins,1 - 2 hours,No,2 cups,4.0,Sometimes,4,No,1
Female,18 - 25 years,5.0,30 - 60 mins,Less than 1 hour,Yes,2 cups,6.0,Often,8,No,5
Female,18 - 25 years,4.0,30 - 60 mins,Less than 1 hour,Yes,2 cups,6.0,Often,8,No,6
Male,26 - 45 years,7.5,More than 1 hour,1 - 2 hours,No,2 cups,1.5,Sometimes,3,Yes,8
Female,18 - 25 years,6.0,Less than 15 mins,More than 2 hours,Yes,1 cup,7.0,Often,10,No,6
Female,18 - 25 years,6.5,Less than 15 mins,1 - 2 hours,Yes,0 cups,4.0,Sometimes,10,No,5
Male,18 - 25 years,6.0,Less than 15 mins,Less than 1 hour,Yes,0 cups,4.0,Rarely/Never,3,Yes,8
Female,Less than 18 years,8.0,Less than 15 mins,1 - 2 hours,Yes,0 cups,10.0,Rarely/Never,5,Yes,9
Female,18 - 25 years,6.5,Less than 15 mins,1 - 2 hours,No,1 cup,4.5,Sometimes,6,Yes,7
Male,More than 65 years,11.0,Less than 15 mins,1 - 2 hours,No,0 cups,7.0,Rarely/Never,4,Yes,7
Male,18 - 25 years,7.0,15 - 30 mins,Less than 1 hour,Yes,2 cups,3.0,Sometimes,4,Yes,5
Male,18 - 25 years,5.0,15 - 30 mins,More than 2 hours,Yes,0 cups,5.0,Often,10,No,1
Male,18 - 25 years,7.0,30 - 60 mins,1 - 2 hours,No,0 cups,6.0,Sometimes,5,Yes,7
Female,18 - 25 years,8.0,Less than 15 mins,Less than 1 hour,No,2 cups,3.0,Rarely/Never,7,No,4
Male,18 - 25 years,7.0,Less than 15 mins,Less than 1 hour,No,0 cups,5.0,Rarely/Never,5,Yes,7
Male,26 - 45 years,4.0,30 - 60 mins,Less than 1 hour,Yes,2 cups,12.0,Often,9,No,2
Female,26 - 45 years,5.0,More than 1 hour,Less than 1 hour,Yes,3+ cups,10.0,Often,10,No,1
Female,26 - 45 years,4.0,More than 1 hour,Less than 1 hour,Yes,3+ cups,12.0,Often,8,No,3
Female,26 - 45 years,4.5,More than 1 hour,Less than 1 hour,Yes,3+ cups,11.0,Often,8,No,2
Female,26 - 45 years,5.0,More than 1 hour,Less than 1 hour,Yes,2 cups,10.0,Often,8,No,1
Female,26 - 45 years,5.0,More than 1 hour,Less than 1 hour,Yes,3+ cups,11.0,Often,9,No,3
Female,46 - 65 years,9.0,Less than 15 mins,More than 2 hours,No,1 cup,1.5,Rarely/Never,1,Yes,9
Female,46 - 65 years,7.0,Less than 15 mins,More than 2 hours,No,0 cups,2.5,Rarely/Never,2,Yes,9
Female,46 - 65 years,8.0,Less than 15 mins,More than 2 hours,No,1 cup,2.0,Rarely/Never,3,Yes,8
Female,46 - 65 years,5.5,15 - 30 mins,1 - 2 hours,No,2 cups,3.5,Sometimes,5,Yes,6
Female,46 - 65 years,6.0,15 - 30 mins,1 - 2 hours,No,2 cups,4.0,Sometimes,7,Yes,7
Female,46 - 65 years,6.5,15 - 30 mins,1 - 2 hours,No,2 cups,4.5,Sometimes,6,Yes,5
Male,46 - 65 years,6.0,15 - 30 mins,1 - 2 hours,No,2 cups,4.0,Sometimes,6,Yes,6
Male,46 - 65 years,7.0,15 - 30 mins,1 - 2 hours,No,2 cups,5.0,Sometimes,7,Yes,5
Male,46 - 65 years,6.0,15 - 30 mins,1 - 2 hours,No,2 cups,3.0,Sometimes,5,Yes,7
Female,46 - 65 years,8.5,Less than 15 mins,More than 2 hours,No,0 cups,2.0,Rarely/Never,2,Yes,10
Male,46 - 65 years,8.0,Less than 15 mins,More than 2 hours,No,0 cups,1.5,Rarely/Never,3,Yes,8
Female,18 - 25 years,7.0,30 - 60 mins,1 - 2 hours,Yes,1 cup,7.0,Often,7,Yes,3
Female,18 - 25 years,7.0,15 - 30 mins,1 - 2 hours,Yes,0 cups,8.0,Sometimes,6,No,5
